Endpoint                                             Methods                        Rule
facet-search.ajax_lookup                             GET, HEAD, OPTIONS             /admin/facet-search/ajax/lookup/
facet-search.ajax_update                             OPTIONS, POST                  /admin/facet-search/ajax/update/
facet-search.create_view                             GET, HEAD, OPTIONS, POST       /admin/facet-search/new/
facet-search.delete                                  GET, HEAD, OPTIONS, POST       /admin/facet-search/delete/
facet-search.delete                                  GET, HEAD, OPTIONS, POST       /admin/facet-search/delete/<int:id>
facet-search.delete_view                             OPTIONS, POST                  /admin/facet-search/delete/
facet-search.details_view                            GET, HEAD, OPTIONS, POST       /admin/facet-search/details/<int:id>
facet-search.edit_view                               GET, HEAD, OPTIONS, POST       /admin/facet-search/edit/<int:id>
facet-search.export                                  GET, HEAD, OPTIONS             /admin/facet-search/export/<export_type>/
facet-search.index_view                              GET, HEAD, OPTIONS             /admin/facet-search/
featuredcommunity.action_view                        OPTIONS, POST                  /admin/featuredcommunity/action/
featuredcommunity.ajax_lookup                        GET, HEAD, OPTIONS             /admin/featuredcommunity/ajax/lookup/
featuredcommunity.ajax_update                        OPTIONS, POST                  /admin/featuredcommunity/ajax/update/
featuredcommunity.create_view                        GET, HEAD, OPTIONS, POST       /admin/featuredcommunity/new/
featuredcommunity.delete_view                        OPTIONS, POST                  /admin/featuredcommunity/delete/
featuredcommunity.details_view                       GET, HEAD, OPTIONS             /admin/featuredcommunity/details/
featuredcommunity.edit_view                          GET, HEAD, OPTIONS, POST       /admin/featuredcommunity/edit/
featuredcommunity.export                             GET, HEAD, OPTIONS             /admin/featuredcommunity/export/<export_type>/
featuredcommunity.index_view                         GET, HEAD, OPTIONS             /admin/featuredcommunity/
feedbackmail.index                                   GET, HEAD, OPTIONS, POST       /admin/feedbackmail/
fileinstance.action_view                             OPTIONS, POST                  /admin/fileinstance/action/
fileinstance.ajax_lookup                             GET, HEAD, OPTIONS             /admin/fileinstance/ajax/lookup/
fileinstance.ajax_update                             OPTIONS, POST                  /admin/fileinstance/ajax/update/
fileinstance.create_view                             GET, HEAD, OPTIONS, POST       /admin/fileinstance/new/
fileinstance.delete_view                             OPTIONS, POST                  /admin/fileinstance/delete/
fileinstance.details_view                            GET, HEAD, OPTIONS             /admin/fileinstance/details/
fileinstance.edit_view                               GET, HEAD, OPTIONS, POST       /admin/fileinstance/edit/
fileinstance.export                                  GET, HEAD, OPTIONS             /admin/fileinstance/export/<export_type>/
fileinstance.index_view                              GET, HEAD, OPTIONS             /admin/fileinstance/
filepreview.index                                    GET, HEAD, OPTIONS, POST       /admin/filepreview/
flask_sitemap.page                                   GET, HEAD, OPTIONS             /weko/sitemaps/sitemap_<int:page>.xml.gz
flask_sitemap.sitemap                                GET, HEAD, OPTIONS             /weko/sitemaps/sitemapindex.xml
flowsetting.del_flow                                 DELETE, OPTIONS                /admin/flowsetting/<string:flow_id>
flowsetting.flow_detail                              GET, HEAD, OPTIONS             /admin/flowsetting/<string:flow_id>
flowsetting.index                                    GET, HEAD, OPTIONS             /admin/flowsetting/
flowsetting.new_flow                                 OPTIONS, POST                  /admin/flowsetting/<string:flow_id>
flowsetting.upt_flow_action                          OPTIONS, POST                  /admin/flowsetting/action/<string:flow_id>
harvestsettings.action_view                          OPTIONS, POST                  /admin/harvestsettings/action/
harvestsettings.ajax_lookup                          GET, HEAD, OPTIONS             /admin/harvestsettings/ajax/lookup/
harvestsettings.ajax_update                          OPTIONS, POST                  /admin/harvestsettings/ajax/update/
harvestsettings.clear                                GET, HEAD, OPTIONS             /admin/harvestsettings/clear/
harvestsettings.create_view                          GET, HEAD, OPTIONS, POST       /admin/harvestsettings/new/
harvestsettings.delete_view                          OPTIONS, POST                  /admin/harvestsettings/delete/
harvestsettings.details_view                         GET, HEAD, OPTIONS             /admin/harvestsettings/details/
harvestsettings.edit_view                            GET, HEAD, OPTIONS, POST       /admin/harvestsettings/edit/
harvestsettings.export                               GET, HEAD, OPTIONS             /admin/harvestsettings/export/<export_type>/
harvestsettings.get_log_detail                       GET, HEAD, OPTIONS             /admin/harvestsettings/get_log_detail/<id>/
harvestsettings.get_logs                             GET, HEAD, OPTIONS             /admin/harvestsettings/get_logs/
harvestsettings.index_view                           GET, HEAD, OPTIONS             /admin/harvestsettings/
harvestsettings.pause                                GET, HEAD, OPTIONS             /admin/harvestsettings/pause/
harvestsettings.run                                  GET, HEAD, OPTIONS             /admin/harvestsettings/run/
